#separator:semicolon
#html:false
#notetype:Basic
#deck:AI-Security::L2.5-Transformer-Inference

In MHSA, what are the three roles every token gets — and what question does each ask?;**Query (Q):** "What am I looking for?" **Key (K):** "What do I advertise / contain?" **Value (V):** "What content do I carry if you attend to me?" Every token gets all three simultaneously via separate learned weight matrices W_Q, W_K, W_V. | Mnemonic: Order book — Q = bid (what you want), K = ask (what pool advertises), V = the tokens you receive if bid matches ask. Source: modules/01_introduction/02_llm_architecture.md;AI-Security::L2.5::mhsa::definition

Why are attention scores divided by √d before softmax? What breaks if you skip it?;Without scaling, dot products of large vectors produce very large scores → softmax saturates → one token monopolizes all attention → gradients collapse to near-zero everywhere → training stalls. Dividing by √d (e.g. √64 = 8) keeps scores in a stable range where gradients flow. | Mnemonic: Slippage tolerance on a DEX — too loose (no scaling) = one token fills the entire block, training can't move. Source: deep-dives/mhsa-ffn-explained.md;AI-Security::L2.5::mhsa::definition

Why run multiple attention heads in parallel instead of a single head?;A single head captures only one type of relationship at a time (e.g. syntactic). Multiple heads run Q/K/V in parallel, each specializing in a different relationship type (semantic, syntactic, grammatical, coreference). Specializations emerge from training — not pre-assigned. Head outputs are concatenated then projected via W_O. GPT-3: 96 heads per layer, 96 layers. | Mnemonic: Multi-sig wallet — each signer (head) evaluates from a different angle simultaneously. Final output combines all inputs. Source: deep-dives/mhsa-ffn-explained.md;AI-Security::L2.5::mhsa::definition

Why do long, carefully crafted jailbreak prompts work better than short ones — from an MHSA perspective?;Attention weights are softmax-normalized across ALL tokens — a zero-sum budget. More attacker tokens = system prompt's share shrinks proportionally. System prompt (20 tokens): ~40% of budget in a 50-token context → ~4% in a 500-token context. No exploit needed — sheer volume dilutes the system prompt. | Mnemonic: Block stuffing — fill the block with your transactions and the others get squeezed out. Same protocol, no break. Source: deep-dives/mhsa-ffn-explained.md §Security Implication;AI-Security::L2.5::mhsa::attack

Common mistake: "Softmax in MHSA and softmax in the output layer do the same thing." Correct?;❌ Same math, completely different contexts. MHSA softmax: operates over sequence length (~512 scores), answers "how much does token A attend to token B?" — used to weight Value vectors. Output layer softmax: operates over vocabulary (~50,000 scores), answers "which token comes next?" — used to sample the next output token. | Mnemonic: Same percentage formula — one splits the attention budget (MHSA), one runs the token election (output). Source: modules/01_introduction/02_llm_architecture.md;AI-Security::L2.5::output::gotcha

What are the 3 steps of the FFN in order, and what does each do?;1. **Up-Projection:** multiply by W1, expand 768 → 3,072 (4×). Separates tangled concepts into distinct addressable regions. 2. **Activation (ReLU/SwiGLU):** gatekeeper zeros out every irrelevant concept — not quieted, deleted. Only context-relevant concepts survive. 3. **Down-Projection:** multiply by W2, compress 3,072 → 768. Packages retrieved fact back into standard format for next layer. | Mnemonic: Spread → Filter → Compress. Expand packed calldata → apply require() checks → re-encode the result. Source: deep-dives/mhsa-ffn-explained.md §Part 3;AI-Security::L2.5::ffn::process

In the FFN activation step, why is "zeroed out" more precise than "suppressed"?;Activation functions (ReLU/SwiGLU) set irrelevant values to **exactly 0** — not reduced, not given low priority, deleted from the computation entirely. "Suppressed" implies the signal is still present at lower strength. "Zeroed" means it contributes nothing to the output. A concept that's zeroed doesn't influence the down-projection result at all. | Mnemonic: Like require() — if the condition fails, execution stops completely. Not "lower priority" — zero. Source: deep-dives/mhsa-ffn-explained.md;AI-Security::L2.5::ffn::definition

Common mistake: "The FFN's down-projection produces the logits." Correct?;❌ No. FFN down-projection outputs a 768-number hidden state that is passed to the **next transformer layer**. There are 96 such layers stacked. Logits are produced ONCE by the **final output layer projection** (hidden_state × 50,000 weight matrix) AFTER all 96 transformer layers finish. FFN ≠ output layer. | Mnemonic: FFN = one floor of a 96-story building. Logits come from the rooftop. Source: modules/01_introduction/02_llm_architecture.md §Output Layer;AI-Security::L2.5::output::gotcha

What is the key difference between model editing (ROME) and fine-tuning poisoning?;**Fine-tuning poisoning:** attack during training — attacker feeds malicious data, gradient descent modifies weights as a side effect. Has training logs, data audit trail. **Model editing (ROME):** attack after training — attacker accesses the weight file, computes exact delta, writes ~1,000 weight values directly. No training loop. No logs. Surgical vs. diffuse. | Mnemonic: Poisoning = governance attack (malicious proposal through normal vote, paper trail). Editing = storage slot collision (write directly, bypass governance, no evidence). Source: deep-dives/mhsa-ffn-explained.md §Security Implication;AI-Security::L2.5::ffn::attack

What are logits in the output layer? How do they differ from the token output?;Logits are raw, unnormalized scores — one per vocabulary token (~50,000 numbers). Computed by: final hidden state × output weight matrix (768 × 50,000). Softmax converts them to probabilities; sampling picks one token. The output token is just the winner. Logits contain the full confidence distribution — vastly more information than the single chosen token. | Mnemonic: Logits = the full race scoreboard. Output token = just the gold medal winner. The scoreboard reveals how close every competitor was. Source: modules/01_introduction/02_llm_architecture.md §Output Layer;AI-Security::L2.5::output::definition

What is a "soft label" and why does logprob exposure make model extraction dramatically easier than token-only output?;**Hard label (token only):** "Paris" — 1 choice, minimal information. **Soft label (logprobs):** Paris:0.72, Lyon:0.14, Marseille:0.09 — full confidence gradient across all candidates. Soft labels reveal decision boundaries and internal logic. Training a surrogate on soft labels requires far fewer queries because each response teaches not just WHAT the model chose, but HOW CONFIDENT it was about every alternative. | Mnemonic: Hard label = contract's final state. Soft label = full execution trace with gas per opcode. One shows outcome; the other shows internal logic. Source: deep-dives/mhsa-ffn-explained.md §Part 4;AI-Security::L2.5::output::attack

How can an attacker use logit_bias API access to bypass RLHF safety alignment — without any jailbreak prompt?;RLHF suppresses harmful outputs by training the model so harmful logits are very negative (e.g. logit("Sure!") = -20 for a harmful request). If the API exposes logit_bias: apply bias("Sure") = +35 → net logit = -20 + 35 = +15 → suppression overridden → model outputs harmful content. No clever prompt. No jailbreak. Directly undoes the safety layer mathematically. | Mnemonic: Writing the expected value directly to the storage slot that require() checks — you don't find a bypass, you remove the gate. Source: deep-dives/mhsa-ffn-explained.md §Part 4;AI-Security::L2.5::output::attack

What is Language Model Inversion, and what can it recover without the model ever printing the secret?;An attack using logprob distributions to reconstruct hidden information. A model's hidden system prompt biases the logprob distribution of the first few output tokens. Attacker: queries with varied inputs → observes logprob shifts → runs inverter algorithm over series of snapshots → reconstructs the full hidden system prompt or memorized training data. Model never prints the secret — attacker reads its shadow in the probability distribution. | Mnemonic: Inferring a contract's private state variables by watching how its public view functions respond to different inputs. The storage is never exposed — but its influence on outputs is observable and reversible. Source: deep-dives/mhsa-ffn-explained.md §Part 4;AI-Security::L2.5::output::attack

Why can't prompt injection be fixed by adding stronger instructions to the system prompt?;Self-attention computes Q/K/V over ALL tokens in the flat sequence simultaneously — system prompt tokens, user tokens, tool output tokens are all just vectors with no privilege separation. The model has zero mechanism to distinguish their origin during attention computation. Whichever instruction pattern achieves higher attention weight wins. Adding more words to the system prompt just adds more tokens competing in the same zero-sum budget. Fix: output validation + privilege separation at agent layer + sandboxing. | Mnemonic: Adding more ETH to a losing auction bid — you're still just bidding. You need a different auction mechanism (privilege separation), not a bigger bid. Source: deep-dives/mhsa-ffn-explained.md §Security Implication;AI-Security::L2.5::mhsa::attack

What is the exact scaling divisor in MHSA attention scoring? If embedding dimension d = 64, what is the divisor?;The divisor is **√d** — the square root of the vector dimension. If d = 64, then √64 = **8**. Each Q·K dot product score is divided by 8 before softmax. NOT log(10). NOT d. NOT √10. | Mnemonic: "Square root of the dimension." d = 64 → side of the square = 8. Source: deep-dives/mhsa-ffn-explained.md;AI-Security::L2.5::mhsa::definition
