#separator:semicolon
#html:false
#notetype:Basic
#deck:AI-Security::L3-S3-Guardrail-Bypass
What are the 2 MITRE ATLAS tactics that have NO ATT&CK equivalent?;AML.TA0000 AI Model Access (querying API / stealing weights / accessing training data) and AML.TA0001 AI Attack Staging (adversarial example crafting / data poisoning / prompt engineering). Mnemonic: MAS — Model Access first, then Attack Staging. Both exist only because ML has a model artifact and a training pipeline that classical software lacks. Source: atlas.mitre.org ATLAS.yaml;ai-security::atlas::recall
What is LLM05 Improper Output Handling and what's the minimum 3-layer fix?;Vulnerability in downstream consumers that execute LLM output without validation (SQL/shell/HTML/eval). Treat LLM output as untrusted user input. Fix: (1) sanitize at the sink (2) least privilege on the downstream system (3) parameterize — have the LLM output structured intent then template it into prepared statements / safe APIs. Source: owasp.org/www-project-top-10-for-large-language-model-applications LLM05;ai-security::owasp::definition
What are the 4 TYPES of guardrails (where they sit in the pipeline)?;(1) Input Guardrails — filter user input before LLM (2) Output Guardrails — filter LLM response before delivery (3) Behavioral Guardrails — constrain LLM actions not just text (4) Contextual Guardrails — rules adjust by conversation state. Source: 03_guardrail_bypass.md §Types of Guardrails;ai-security::guardrails::taxonomy
What are the 4 guardrail ARCHITECTURES (how they work) and the named weakness of each?;(1) Keyword filter — regex denylist, ~1ms, bypassed by encoding/homoglyphs/synonyms (2) Classifier — fine-tuned BERT (LlamaGuard / OpenAI Moderation), bypassed by adversarial examples + distribution shift (3) LLM-as-judge — second LLM evaluates prompt (Constitutional AI), bypassed by injecting the judge itself (4) Multi-layer defense — stack all of above, bypassed by composition + latency + false-positive trade-offs. Source: 03_guardrail_bypass.md §Common Guardrail Architectures;ai-security::guardrails::architectures
Why are guardrails STRUCTURALLY weaker than RLHF? Answer in one sentence.;Guardrails operate at a shallower layer than the model — outside its weights and reasoning — with strictly less context and strictly less compute. 4 of the source's 5 failure reasons (Reasoning Gap / Training Distribution / Latency / False Positives) all reduce to this; only Reason 5 Composability is shared with RLHF. RLHF integrates safety judgment WITH reasoning in the same forward pass at zero runtime cost. Source: 03_guardrail_bypass.md §Why Guardrails Fail;ai-security::guardrails::structural-argument
Where do guardrails WIN over RLHF? Name the 2 reasons.;(1) Updatability — guardrails ship in hours when a new attack drops; RLHF retraining takes weeks/months and millions of dollars. (2) Deployer control — application developers using a foundation model (GPT-4 / Claude) have ZERO control over RLHF; guardrails are the only safety layer they actually own. This is why every AI product company stacks guardrails on top of already-RLHF'd foundation models. Source: synthesis of 03_guardrail_bypass.md §Why Guardrails Fail + production practice;ai-security::guardrails::production-posture
List the 5 bypass DIAGNOSTIC GROUPS and what each defeats.;Group A Lexical (synonyms / character manipulation / encoding) defeats keyword filter. Group B Semantic (semantic evasion / reasoning capability gap / sandwich attack) defeats classifier via R1 Reasoning Gap. Group C Compositional (context splitting / context poisoning / many-shot) defeats any stateless layer via R5 Composability. Group D Direct (guardrail confusion / GCG adversarial prompts / fingerprinting) attacks the guardrail itself. Group E Output-side (output manipulation hidden in JSON fields) defeats output filter. Source: 03_guardrail_bypass.md §Bypass Techniques (organized by AI Security Engineer diagnostic groups);ai-security::guardrails::bypass-taxonomy
What 4-step DIAGNOSTIC ALGORITHM does an AI Security Engineer run on a guardrail-failure incident?;(1) What got through — read the attack payload. (2) Which guardrail layer was supposed to catch it — map to bypass group A/B/C/D/E. (3) Which why-fail reason explains the miss — R1 Reasoning Gap / R2 Training Distribution / R3 Latency / R4 False Positives / R5 Composability. (4) Structural fix — add the missing layer not patch the specific string. Source: synthesis of 03_guardrail_bypass.md §Bypass Techniques + §Why Guardrails Fail;ai-security::incident-response::triage
Why is R5 Composability the MOST IMPORTANT reason guardrails fail?;Multiple individually-safe requests can combine into an unsafe outcome (e.g. turn 1 ingredients turn 2 mixing procedures = chemical weapon recipe). No single stateless layer can see the harmful intent because it lives in the sequence not any individual piece. The fix requires cross-turn correlation: rolling conversation embedding scored against known harmful trajectories with conversation termination on threshold cross. Source: 03_guardrail_bypass.md §Why Guardrails Fail (Reason 5) + Principle 3 Context Awareness;ai-security::guardrails::composability
Contrast: Reasoning Gap (R1) vs Distribution Shift (R2). When does each apply?;R1 Reasoning Gap = the classifier CAN see the dangerous content but lacks the capacity to reason about it (e.g. fictional framing as disguise for real intent — BERT can't ask 'is the frame a disguise?'). R2 Distribution Shift = the attack pattern was simply absent from training data (a brand-new technique). Why distinguish? R2 fix = retrain on more data (whack-a-mole). R1 fix = escalate architecture to a deeper reasoner (structural). Source: 03_guardrail_bypass.md §Why Guardrails Fail (Reasons 1 and 2);ai-security::guardrails::diagnostic-distinction
