#separator:semicolon
#html:false
#notetype:Basic
#deck:AI-Security::L4-Poisoning-Backdoor-Detection

What is data poisoning and where in the ML pipeline does it strike?;Data poisoning corrupts the TRAINING DATASET before training starts. The model code is clean — what it learns from is not. By deployment, the damage is baked into the weights and invisible from outside. Entry point: training data (labels or raw samples). Source: resources/genai-security-training/modules/05_poisoning/README.md

What is the KEY difference between data poisoning and a backdoor attack?;Data poisoning breaks behavior BROADLY — the model is wrong about an entire class for everyone always. A backdoor is SURGICAL — the model performs correctly on 99.9% of inputs and only misbehaves when a specific secret trigger is present. Source: resources/genai-security-training/modules/05_poisoning/README.md

Label Flipping: what does the attacker control, and what symptom identifies it?;Attacker controls: WRITE ACCESS to training data labels — flips the label for target samples. Identifying symptom: UNIFORM misclassification of an entire class with NO trigger pattern found. Every instance of that class is always wrong, not sometimes wrong. Source: resources/genai-security-training/modules/05_poisoning/README.md

Why does Clean-Label Poisoning bypass label verification?;Because the labels remain CORRECT. The attacker only modifies raw pixel values with imperceptible perturbations — the image looks identical to humans, the label is accurate. Data sanitization checks labels — these pass. Human review sees nothing. Only mathematical analysis (Spectral Signatures or Activation Clustering post-training) catches it. Source: resources/genai-security-training/modules/05_poisoning/README.md

What does Gradient-Based Poisoning require, and why is it the hardest to detect?;Requires: white-box access to the model (architecture + weights) OR a good surrogate model. The attacker runs an optimizer to compute the exact sample modification that maximally corrupts behavior with minimal poison rate (as low as 1–3% of dataset). It is designed by construction to minimize detection probability — defeating most naive data sanitization. Source: resources/genai-security-training/modules/05_poisoning/README.md

What is a Patch-Based Backdoor? Name the real-world case.;A backdoor where the trigger is a foreign pixel artifact added to the input (e.g. a sticker, patch, or mark). Real case: BadNets (2017) — Gu et al. trained a traffic sign model with a yellow sticker on STOP signs labeled as "speed limit 45." Without sticker: correct. With sticker on ANY image: misfires to target class. Detectable by Activation Clustering. Source: Gu et al. "BadNets" — resources/genai-security-training/modules/05_poisoning/README.md

Why does Activation Clustering FAIL to detect Semantic Backdoors (TrojanNet)?;A semantic backdoor uses a NATURALLY OCCURRING feature as the trigger (e.g. specific glasses frames in TrojanNet). The model already knows that feature as a real-world concept. So the internal activations for "glasses + face" blend into normal variation — they do NOT form a separate cluster. Clustering cannot separate what looks like normal input variation. Use Neural Cleanse instead. Source: Liu et al. "Trojaning Attack on Neural Networks" — resources/genai-security-training/modules/05_poisoning/README.md

Why do Composite Backdoors evade standard detection testing?;A composite backdoor requires MULTIPLE CONDITIONS simultaneously to fire (e.g. wearing glasses AND being indoors). No single condition alone triggers it. Automated testing tools probe ONE perturbation at a time — the backdoor never fires during single-condition tests. It is invisible to any tool that tests triggers individually. Source: resources/genai-security-training/modules/05_poisoning/README.md

GOTCHA: Is "model poisoning" the correct term when an attacker corrupts the training dataset?;NO. The correct term is DATA POISONING. "Model poisoning" means someone directly tampered with the weights AFTER training. If the attack entered through the training data (labels or samples), it is data poisoning — even if the result is poisoned model weights. Source: resources/genai-security-training/modules/05_poisoning/README.md

Model Repository Poisoning: what is attacked and what is the blast radius?;Target: pre-trained model files uploaded to public repositories (HuggingFace, PyTorch Hub). Method: attacker uploads a poisoned model with a legitimate-looking README and metrics. Impact: EVERY downstream user who loads that model inherits the backdoor. One upload → thousands of compromised deployments. Never load a third-party model without auditing it first. Source: resources/genai-security-training/modules/05_poisoning/README.md

Why does loading a PyTorch .pt file (pickle format) enable arbitrary code execution?;Python's pickle format serializes data using a __reduce__ method that can embed EXECUTABLE PYTHON CODE. When torch.load() deserializes the file, that code runs automatically. Loading a .pt file is not just reading data — it is running code from whoever created that file. PyTorch 2023: attackers published malicious torchtriton package; model loading triggered pickle deserialization → data exfiltration. Source: PyTorch Security Advisory — resources/genai-security-training/modules/05_poisoning/README.md

What is SafeTensors and why does it fix the pickle serialization risk?;SafeTensors is a serialization format that stores ONLY raw tensor data — no executable code, no __reduce__, no deserialization logic. Loading a SafeTensors file reads values only; it cannot execute anything. It eliminates the RCE risk present in pickle-based .pt files entirely. Fix: replace torch.load() with safetensors.torch.load_file(). Source: resources/genai-security-training/modules/05_poisoning/README.md

Activation Clustering: what does it need, how does it work, and what is its key limitation?;Needs: training data (original or proxy dataset from same domain). How: feed all samples of one class through model, extract last-hidden-layer activation vectors, run k-means — poisoned samples form a separate cluster from clean samples. Key limitation: FAILS on semantic backdoors (natural feature triggers blend into normal activation variation). Source: resources/genai-security-training/modules/05_poisoning/README.md

GOTCHA: You have 2,000 clean labeled samples and no original training data. Can Spectral Signatures detect a backdoor?;NO. Spectral Signatures requires the ORIGINAL (potentially poisoned) TRAINING SAMPLES to find the outlier cluster. If you run clean samples through the model, all activations look clean — there is nothing to detect. With no original training data, use STRIP (fast, cheap) → Neural Cleanse (heavier, finds the trigger). Source: resources/genai-security-training/modules/05_poisoning/README.md

Neural Cleanse: what does it need, how does it work, and what is its secondary role?;Needs: model weights only — no training data. How: for every output class, find the SMALLEST perturbation that flips ANY input to that class. The class with an unnaturally tiny required perturbation has a backdoor. Secondary role: the reconstructed trigger becomes a RUNTIME FILTER — block any input containing that pattern. Also produces forensic evidence for the incident report. Source: resources/genai-security-training/modules/05_poisoning/README.md

STRIP has two distinct roles. What are they and when do you use each?;Role 1 — DETECTION: trigger is unknown; you check if a backdoor exists. Send input + N blended noise variants; low entropy (prediction stays locked) = trigger present. Role 2 — RUNTIME GUARD: trigger is already known but model is still live in production. Deploy STRIP in front of the model to block triggered inputs while Neural Cleanse and Fine-Pruning run offline. Key: if the trigger was already caught behaviorally, Role 1 is done — use Role 2 immediately. Source: resources/genai-security-training/modules/05_poisoning/README.md

Fine-Pruning: why is it a REMOVAL technique and not a detection technique?;Fine-Pruning zeroes out DORMANT NEURONS — neurons with near-zero average activation on clean data. These freeloaders don't contribute to normal task performance but fire when the trigger appears. Pruning severs the backdoor circuit. It CANNOT tell you whether a backdoor exists — it only attempts to remove one. Always run AFTER a detection technique (AC, NC, STRIP, or SS) confirms the backdoor. Source: resources/genai-security-training/modules/05_poisoning/README.md

What is RAG poisoning and who is responsible for defending against it?;RAG poisoning = INDIRECT PROMPT INJECTION via the vector database. An attacker plants a malicious document in your RAG vector store. At query time, the retrieval system pulls that document and injects it into the model's context. The model reads it as a legitimate instruction and may follow it. Responsibility: entirely YOURS (the app developer) — not the API provider's. The model provider secures the weights; you secure the RAG store, inputs, outputs, and tools. Source: resources/genai-security-training/modules/05_poisoning/README.md + session 2026-06-22
