#separator:semicolon
#html:false
#notetype:Basic
#deck:AI-Security::L3-Defense-Mechanisms

What are the 5 defense layers against prompt injection, and what is the goal of each?;Layer 1: Input Validation — prevent (filter noise). Layer 2: Prompt Engineering / Spotlighting — prevent (reduce trust confusion). Layer 3: Output Validation — prevent (catch at exit). Layer 4: Privilege Separation / Dual-LLM — minimize damage (limit blast radius). Layer 5: Monitoring and Logging — detect (forensics + pattern detection). Source: genai-security-training/02_prompt_injection/04_defense_mechanisms.md | Mnemonic: Prevent × 3, Minimize × 1, Detect × 1. No single layer is all-yes.;ai-security::L3::S4::defense-layers::overview

Which bypass groups does Layer 1 (Input Validation) address, and why is it insufficient alone?;Layer 1 addresses Group A (Lexical) only — regex denylist catches known keywords and patterns. It fails against synonyms, encoding (base64, ROT13), homoglyphs, and character splitting. Value: stops noise (automated scanners, script kiddies) cheaply. Deploy always, never deploy alone. Source: 04_defense_mechanisms.md §Layer 1 | Web3 bridge: Function selector check — `if (sig == 0x12345678) revert()`. Blind to semantically equivalent variants arriving via a different code path.;ai-security::L3::S4::layer1::input-validation

What is spotlighting, how does it work, and what is it NOT?;Spotlighting is a prompt engineering technique that places user input between explicit structural markers so the LLM can distinguish data from instructions. Example: `===USER INPUT BEGIN=== {user_input} ===USER INPUT END===` with a reminder that the content between markers is data, not instructions. It is NOT a classifier, NOT an LLM-as-judge — no separate model. The main LLM reads the markers itself. Addresses Groups B and C (reduces confusion, does not hard-block). Source: 04_defense_mechanisms.md §Strategy 3 | Web3 bridge: ABI encoding — fixed offsets mean the EVM never confuses argument boundaries with function identity.;ai-security::L3::S4::layer2::spotlighting

Which bypass group does Layer 3 (Output Validation) address, and what is its key limitation?;Layer 3 addresses Group E (Output-side) — specifically hidden JSON/XML field injections where payload is embedded in a field the rendered text doesn't show. Key limitation: format compliance can be gamed if injected content conforms to the expected schema. Fix: pair format check with a semantic harm classifier that parses ALL fields, not just the display text. Source: 04_defense_mechanisms.md §Layer 3 | Web3 bridge: `nonReentrant` modifier — validates state after execution, before it commits. Last checkpoint before the artifact leaves the system.;ai-security::L3::S4::layer3::output-validation

What is the Dual-LLM pattern and where exactly is the trust boundary?;Two LLMs with different trust levels: ONE untrusted LLM (zero tools) faces raw user input — it can be fully compromised but has nothing to give. ONE trusted LLM (has tools: send_email, delete_file) never sees raw user input — it only receives structured intent from the gate. The trust boundary is: raw user input NEVER reaches the trusted LLM. This is NOT about splitting tools between two LLMs — it is about one LLM having NO tools. Source: 04_defense_mechanisms.md §Strategy 4 | Web3 bridge: Proxy/implementation separation — proxy receives external calls and can be attacked but holds no assets; implementation holds privileged logic and only executes calls that pass the proxy's access control.;ai-security::L3::S4::layer4::dual-llm-pattern

