Front,Back,Mnemonic,Source
"What is a PDA (Program Derived Address)?","An account address that is: (1) deterministically derived from seeds + program_id + bump, (2) mathematically off the Ed25519 curve — no private key exists, (3) owned by the deriving program.","PDA = a locker with no key slot. Only the program that built it can open it.","rareskills.io/solana-tutorial + A-Day4"
"How is a PDA address derived?","PDA = hash(seeds + program_id + bump). Runtime tries bump=255, decrements until the result lands off the Ed25519 curve. That first off-curve bump is the canonical bump.","Hash the ingredients. Keep tweaking the bump until the color falls outside the valid range.","rareskills.io/solana-tutorial + A-Day4"
"What are PDA seeds?","Arbitrary bytes you choose to make the address meaningful and findable. E.g. ['score', user_pubkey] to derive one score account per user per program.","Seeds = the recipe. Same recipe + same program = same address, every time.","rareskills.io/solana-tutorial + A-Day4"
"What is the canonical bump?","The highest bump value (closest to 255) that makes the derived address fall off the Ed25519 curve. It is stored and reused — not recomputed on every call.","Canonical = the agreed-upon bump. Lock it in once, use it forever.","rareskills.io/solana-tutorial + A-Day4"
"Why does a PDA have no private key?","Its address is mathematically off the Ed25519 curve. Private keys only exist for points ON the curve. An off-curve point has no corresponding private key — it is cryptographically impossible, not just forbidden.","Like finding the square root of -1 in real numbers. Not blocked — just impossible.","rareskills.io/solana-tutorial + A-Day4"
"Why use PDAs instead of regular keypairs for program-owned accounts?","PDAs are deterministic (findable from seeds), have no private key (can't be externally signed), and are owned by the program. Regular keypairs are random, have a private key someone must store, and have no guaranteed ownership.","PDA = GPS address. Keypair = phone number you might lose.","rareskills.io/solana-tutorial + A-Day4"
"Two users Alice and Bob use the same leaderboard program. Are their score PDAs the same address?","No. Seeds include their pubkeys: ['score', alice_pubkey] vs ['score', bob_pubkey]. Different seeds → different hash → different PDA.","Different ingredients = different dish.","rareskills.io/solana-tutorial"
"Two different programs use the same seeds and user pubkey. Do they derive the same PDA?","No. The program_id is part of the hash. Different program_id → different PDA. This prevents one program from accessing another program's PDAs.","Same recipe, different kitchen = different result. Program_id is the kitchen.","rareskills.io/solana-tutorial"
"What is the difference between an account's key and its owner?","key = the account's address (identity). owner = the program that has write permission over the account's data and lamports. For a wallet: key = user pubkey, owner = System Program.","key = your name on the mailbox. owner = who owns the building.","A-Day2 + session 1"
"Who owns a deployed Solana program account?","The BPF Loader — the native runtime component that deployed the program bytecode. Not the developer's wallet.","BPF Loader = the publisher. You wrote the book, they control the shelf.","A-Day3 + session 1"
"Where does a program store its data?","In a separate program-owned data account — an account whose owner field is set to the program's address. The program creates it (often as a PDA), owns it, and is the only one that can write to it.","Program = factory. Data account = warehouse the factory owns and manages.","rareskills.io/solana-tutorial"
